Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1995;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);470778
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1995;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1996;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);457173
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1996;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1997;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);446491
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1997;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1998;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);437101
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1998;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);489532
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1999;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2000;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);493208
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2000;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2001;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);493052
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2001;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2002;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);494795
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2002;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2003;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);497531
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2003;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2004;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);498491
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2004;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2005;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);502651
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2005;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2006;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);506578
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2006;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2007;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);510512
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2007;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2008;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2008;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;515469
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2009;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2009;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;518862
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2010;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2010;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;522883
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2011;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2011;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;510043
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2012;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2012;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;520838
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;531562
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2014;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2014;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;544479
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2015;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2015;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;560472
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2016;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2016;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;571088
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2017;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2017;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;581980
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2018;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2018;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;587857
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;593145
